organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim,dkim_status,dkim_selector,dkim_record,dkim_key_type,dkim_key_bits,dkim_key_length_score,dkim_revoked,dkim_testing_mode
Maynooth University,mu.ie,Education,found,v=spf1 include:spf.protection.outlook.com ip4:149.157.0.0/22 ip4:149.157.7.0/24 ip4:149.157.67.0/24 a:maynoothcampus.com ip4:40.118.67.115/32 include:spf2.accessacloud.com ip4:208.117.55.132/32 include:_spfhosted.exlibrisgroup.com ip4:130.61.87.20 -all,-all,4,4,FALSE,found,v=DMARC1; p=reject; pct=100; aspf=r; adkim=r; rua=mailto:dmarc_agg@vali.email;,reject,4,reject,100,TRUE,FALSE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDDM/OA4rmtuWg1mGZsGZ8NUtKyjz/M4Eav+FGrRKc4fEI/ZBj6w2Dxh6JEzNBVQYLEP5hHyLViNlKuznMKNp63C0QuSWPWTx43BmmNqXxJvsqrPhY5vFGcbllC9yk4ObAsiQlI98F/7D9CdsSXTbDVBrydScYQEblFq1v2CzPA5wIDAQAB; n=1024,1462307439,1478205039",rsa,1024,2,FALSE,FALSE
Munster Technological University,mtu.ie,Education,found,v=spf1 include:_spf.mtu_ie._d.easydmarc.pro include:spf.protection.outlook.com -all,-all,4,6,FALSE,found,v=DMARC1;p=quarantine;pct=100;rua=mailto:f01c6f08f6@rua.easydmarc.eu;ruf=mailto:f01c6f08f6@ruf.easydmarc.eu;ri=86400;fo=1;,quarantine,3,quarantine,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA3GpxQ/CIB5xyPpJsiVy1VIUWkpR1jaxWIT/lEkqYhKn+XftALUQZYY3j8q/Dul4X5aPKzhQUvAooWceQgMq7mzJwmUvh17oLLYP5g6jOH/WZ1WZ7W9AjhbXvgjLOKWRG9CM5EmbVTo8ZoBMoJKWYoTqQg4N+1/DeInhxvVsAKvtof321kzACWLmfrNrM4mhPHdxJiF6DGJVcPuKyUbOIzMtFAf2rgR1kJeQBVofR/vUTaHK9ZNxR3bFFan+Kw4iLsgVtz9pqL8pDfFgbueWSsLnAE8LPJArwgsbev6I5lptGVpX89TTqfm7TdXVkQwmNzDVITIa+cabkwCxldfY/sQIDAQAB;,rsa,2048,3,FALSE,FALSE
National College of Art & Design,ncad.ie,Education,found,v=spf1 mx ip4:193.1.215.0/24 ip4:193.1.216.0/23  include:spf.elluciancloud.com  include:_spf.google.com  include:de._netblocks.mimecast.com -all,-all,4,4,FALSE,found,v=DMARC1; p=quarantine; rua=mailto:83efedd9caba767@rep.dmarcanalyzer.com; ruf=mailto:83efedd9caba767@for.dmarcanalyzer.com; fo=1;,quarantine,3,quarantine,100,TRUE,TRUE,r,r,found,google,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtupkyDh59jskYQXIoIuwWhTG0plejOSy7pnmCNrHFCk9h3JtQ2xIwGDvZTvTfljRWz0VYC27gNnWubOPIZ6iCO+OFD7fdaQA+7kgLeqcnOa8+94334A3XxlXg+BbjtKo0j6lZA6sNquX9+b69G2ijoXNqFn7iF59+rwBSw11GarQi4pbPRvy5GjoWYHHprqckvQD4v+uXVY9QzyO+XSomPg/i81n9whYQ6RdM+LM+qhxMOmVzJ3zlwlXH1N5Voazd5COAek+G6ZMihbNUhsTmeFYf04GVASPFxTKMxn+K/XyvIUrAyY1dJX1g3yV2LcH/OjAL+AP1PRLyt03xWMXwQIDAQAB,rsa,2048,3,FALSE,FALSE
Royal College of Surgeons in Ireland,rcsi.ie,Education,found,v=spf1 include:_spf2.rcsi.ie include:_spf3.rcsi.ie include:_spf.google.com include:spf.protection.outlook.com include:spf-eu.emailsignatures365.com include:elluciancloud.com ~all,~all,3,7,FALSE,found,v=DMARC1; p=none; rua=mailto:noc@rcsi.ie,none,2,none,100,TRUE,FALSE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDcE5XZyWzHqCyDZBPLv/jczAD0RyUjWSBTQofEerN5BL2BHoiRZKHZbxmrK4GmHLtserIDT5nCICVxYFo/M0qrmB7OVT86LwUQGmuD3N4CJehjxRRFcWcDO02lShrS+XHBHeKgnHYZ/x1obbG2n1lQZSRWxhozcHLjfU8XyeExgwIDAQAB; n=1024,1489084546,1504982146",rsa,1024,2,FALSE,FALSE
South East Technological University,setu.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:mailgun.org include:_tuf-spf.touchnet.com ip4:137.135.229.74 ip4:52.178.210.199 ip4:52.214.155.202 ip4:149.153.4.9 ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:148.105.0.0/16 ip4:91.210.234.4 -all,-all,4,8,FALSE,found,"v=DMARC1; p=quarantine; sp=none; fo=1; ri=3600; rua=mailto:e0dfc7d82aad45e59f6f20a4ecd4390f@dmarc-reports.cloudflare.net,mailto:DMARCAdmins@setu.ie; ruf=mailto:dmarc_agg@vali.email,mailto:DMARCAdmins@setu.ie;",quarantine,3,none,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtZ8bQDJafaW9iL9NfenUZrAmtG6HgWqIGKIQVLMOVQdNw49MwXz35mCIk4GUpQ5eMSrHd4QNQPN+wwx+e71gpHsiPkQY5tUrNQIzCPxuolDjT9SnUsvIK4kinQLyShTSFnbsfeRh8BijTZwcT4rLJkshSLnVzCx6m52DskuTagm/Yb1UzYEYKKd7hox09CHKvHBbN0imwbyn8fN/v0VAntYJo5LpXtSPTa4gHvTbGeremx4z6TuXTnF2Lhi2xwnGEqPsMYRnAJY6BKF8eCw1KQ/QwoPI7jQWWktH3eZhpBi6QbYkQ+rBjQO9iEUaka9OUVA4yjtn7GtUUq7zmBAHZQIDAQAB;,rsa,2048,3,FALSE,FALSE
Technological University Dublin,tudublin.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:spf1.tudublin.ie include:spf2.tudublin.ie include:spf3.tudublin.ie include:spf.elluciancloud.com include:mail.zendesk.com include:_spf.createsend.com include:a._spf.brightspace.com -all,-all,4,8,FALSE,found,v=DMARC1; p=reject; rua=mailto:xydjhcdp@ag.eu.dmarcian.com;,reject,4,reject,100,TRUE,FALSE,r,r,found,google,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsPwAxpKqMHq5hDUKnUXkd30OIahFCsTaLLKcTeNqz81pPzZBTmUKkVxCLp7byCo4mJqsks4rrS8t4L0fkSpGFk+yyNxyLTluOSQuHlYxIRbUTYa8T4mFGUm4vJi2gheE3K7CwFQm4amlkj9SkusfngyeT+xljAOHCtTxYU7s6qD/p+jXGd6/iEKkwBYX1wu+34xqeInfndIGJ8VHf6EkUPKZL/+McWLj9MVOHKYjqs6bHQnaEXmowq8CKUTh+YVpsXdH+nCdXaGfNlgLjJYB8USjsFNuQAK7NsE+iPSDojaKdjUYQnyyU86Dm0MlNOV75WeVqda/63fShvOgwLfgFwIDAQAB,rsa,2048,3,FALSE,FALSE
Technological University of the Shannon,tus.ie,Education,found,v=spf1 mx  ip4:193.1.187.229 ip4:193.1.204.215 ip4:52.19.242.175 ip4:54.247.168.53 ip4:91.210.234.4 include:spf.protection.outlook.com include:tcmailservice.targetconnect.net include:_spf.mindaclient.com include:spf.antispamcloud.com include:amazonses.com include:25573955.spf06.hubspotemail.net -all,-all,4,8,FALSE,found,v=DMARC1;p=quarantine;rua=mailto:dmarc_reporting@tus.ie;ruf=mailto:dmarc_reporting@tus.ie;rf=afrf;pct=100,quarantine,3,quarantine,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA6ALqTbl1uMmRVZcqTbJ6U5fdygOyFwshLdkNTphBkht3kCxpEUgjAhZqqQXut3XHvcOZ06BKFlvPufraiz5q1Xb9NQsekN1i8qVzy7UInuuh1khCodfEBcJ0BJIcWUkkaV5l5KIYqFRsgLvaiKYQGjZtcNjiSmUyQvflE8cB33/r8u21f4fvUHPI1e/knKtYYkeK9YLpQWCLxqJ/gfx44BVKVFCV7q2H69XqPc3r4S/IvOWPlezTtbggsvYFyKRVxACLHnIcE/OnXj9n5MBEzazLgj2Q5dJ8PdOKxhzXHnTZiyMnNCNLeoqB2BBShCMV3xLY1FEKfzRkW8eK1bkryQIDAQAB;,rsa,2048,3,FALSE,FALSE
Trinity College Dublin,tcd.ie,Education,found,v=spf1 ip4:134.226.14.40 ip4:134.226.251.0/21 include:spf.protection.outlook.com include:_spf.google.com include:netaffinity.net include:_spf.eu.messagegears.net include:mh.blackboard.com -all,-all,4,6,FALSE,found,"v=DMARC1; p=reject; sp=none; rua=mailto:dmarc_agg@vali.email, mailto:5e71390ec666207@rep.dmarcanalyzer.com; ruf=mailto:5e71390ec666207@for.dmarcanalyzer.com; fo=1;",reject,4,none,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCvrwqmhsziyFO0PA2tnI4/xPrmTIKgi3MjrRjb90eyynXGct7i33N3mfqq7mw+vWe/DVNUFSmEb4aOFnoWsWixD7BeRdVcSZBmU7I8ZbbMPmJeNibClUchgIQe1IudZir0BZwvEdCKBcdCTvaAtlGI8C+IzCagC+oNfX1m3PgnvQIDAQAB; n=1024,1453704607,1",rsa,1024,2,FALSE,FALSE
University College Cork,ucc.ie,Education,found,v=spf1 ip4:143.239.23.191 ip4:143.239.64.131 include:spf.protection.outlook.com -all,-all,4,1,FALSE,found,"v=DMARC1;  p=reject; sp=quarantine; rua=mailto:z09tjnba@ag.eu.dmarcian.com,mailto:dmarc@ucc.ie; ruf=mailto:dmarc@ucc.ie; fo=1",reject,4,quarantine,100,TRUE,TRUE,r,r,found,selector2,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDTWp3N2Kvc7mM6u2IGRnsUAt2S1s+hIeGewFjBBighQBETwcFphPaUG9ZntQxo/Oz/j/fZ7mTMiToywqVcoypWxYKTvlde+H9QC/rewtHMV6BNknIErd94NiRTghZ9Cq+RHQCfuGMH6Uo6iUDFs8Y9ZiaqBItqsYquAhCqr6TbLQIDAQAB;,rsa,1024,2,FALSE,FALSE
University College Dublin,ucd.ie,Education,found,v=spf1 ip4:137.43.231.0/24 ip4:137.43.91.0/24 ip4:193.1.174.0/23 ip4:216.17.121.20 include:_spf.google.com include:spf.protection.outlook.com ip4:143.55.236.196/31 ~all,~all,3,2,FALSE,found,v=DMARC1; p=none; rua=mailto:ucd.dmarcreport@ucd.ie,none,2,none,100,TRUE,FALSE,r,r,found,google,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAt4nWTysFBO0UeiXwVdDFiImNEJyhKHcHhCc5sRS6Ee4WDy+Ix5d286Uj7j1/6SzgQEGylfjimkKQmPGaWDQVWXt4z7iEKFxtkSPR2eiLZcpqkUHnfpgPI8t5Bv60jRFRPnhcdFQg91OaO/qlyniz2W4NtCA5R+NlUjvUM2myBkHrdPKScOMJMQjivsGIHY4FTeyvOBBEGpv3DbBH/NTkkFLaua29eJSyQ2fFxqP8CA/a0aavzOzbrfntKMFd7012ZMkp2bbroTjVWpvhG6T4JKnF0lUqtcfXW4JyVqMqNybn7tg/LDdUGlARTWvrmtC52ddBwKuSpr4rfV0ThK+P6wIDAQAB,rsa,2048,3,FALSE,FALSE
University of Galway,universityofgalway.ie,Education,found,v=spf1 ip4:95.172.90.143 ip4:95.172.90.156 ip4:206.132.28.57 ip4:92.52.102.162 ip4:206.132.28.20 ip4:140.203.150.74 ip4:140.203.202.74 include:spf.protection.outlook.com ip4:82.195.135.109 ip4:147.197.215.112 ip4:80.93.26.177 include:listserv.heanet.ie include:spf-eu.exlibrisgroup.com ip4:46.249.61.0/24 ip4:212.54.130.143 ip4:193.120.143.165 ip4:193.120.142.176 ip4:193.120.252.86 include:servers.mcsv.net ip4:149.72.228.91 include:_spf.distribution.vueliopm.com ~all,~all,3,8,FALSE,found,v=DMARC1;p=reject;rua=mailto:DMARC@universityofgalway.ie;,reject,4,reject,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxmek/SeEBl46dkShKp8A8PdG4sYw1yH/dMoT60pwrMz6u6IbRVSEzdISF7aVseqmfyFCTLlye5M0r72MY6+hwqrxEXPCjl8PuYydCF+d4fQgpnJxGj8LBllQx0K5hwN2VvPfF0BsGWYBiQgZmHs43NeYdkF3mbtZDj0zi/5x6Y/UcpbKxZWyie+OcP+ZxGSSrGa/xPaNMwEVPKnFZGOZ5QKscD5Le8uH2x5uSc9CmtmuhesKzaydxdJQSaHYwE7PR/d9H9yHggIaGUSfd8Fw40Z/+NVn/h+0JccDSulW5pwnyWlW6zVDmUQKdIVmd+HO35zcGT90UWjwyaVPd5UruQIDAQAB;,rsa,2048,3,FALSE,FALSE
University of Limerick,ul.ie,Education,found,v=spf1 ip4:139.60.152.0/22 include:spf.protection.outlook.com include:spf.topdesk.net ip4:195.154.27.41 ip4:149.202.76.209 ip4:193.120.142.176 ip4:193.120.143.134 ip4:193.120.143.138 ip4:193.1.100.0/21 include:spf1.ul.ie -all,-all,4,10,FALSE,found,v=DMARC1; p=quarantine; rua=mailto:dmarc_reporting@ul.ie;,quarantine,3,quarantine,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsBVhWd+UrODnWckvfK/rv+oCGTsKtY+maPqbREtHPPRbAGjBV2osonGT8e9uatk4BcdyMryxNEq8X9NIw9DwdAzWGn4yRIl3usozuA5mm6pm5UiSOFNKlxWMBqMzfFOl0sadWXZi/ZLb9rUyOPEgJxKJ6ZbanxSDBGezKS6oOvFI+KNTDrUVaSvMbi7Wz2fpPqku4vXQ+NQSTnIKkOnAdMk9n6dTDBb4g0RhZL7Gm8SJ8Q6/Y7miigPUjbzioFaJpND781dNFRHtOnk20KlL0MaTJJvHO0w65Z25sHGswNVurxpilMccm1y4HFo0G4zOLHOsn3tq/pqq+JUBC0wnkQIDAQAB;,rsa,2048,3,FALSE,FALSE
Health Service Executive,hse.ie,Health,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com include:spf1.hse.ie include:spf2.hse.ie -all,-all,4,4,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,s1,k=rsa; t=s; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1GlgbisNqw4u2X/26elQEPkhaQFhBiYMPJdR9yBUBrWcep97k0+3g7xM6CMM/6BZTb+iYQMWdLoHjJmnt98+5sQCiAaYv/B9dCyl5RnA3BxdVW2NCxjmUJ0SvRchrkm3UJcXs3cunbCFB60cJHegYfrHhZF8VcMY/mlR9CA3FYpZvk6i0s736pbYPS4jf18lXlEjRC5x4y8ma63+QMfzGvLv3cdMYmUyobcGqsRQJESkvKctEdv6kqy0VCAlTyyoD3WiFSRSCR2c6dk8hW/G2I+R3Cy0XBFS/rh8LWDW2Vk5CnfKnSrWjoFmZqu6ZCCKz8Yo6awmXBSYJEdgVviOLwIDAQAB,rsa,2048,3,FALSE,FALSE
An Garda Síochána,garda.ie,Law Enforcement,found,v=spf1 mx ip4:137.191.224.102 ip4:137.191.224.122 ip4:137.191.224.89 ip4:137.191.225.35 ip4:137.191.225.37 ip4:169.254.231.133 ip4:169.254.39.133 ip4:193.178.100.71 ip4:193.178.100.70 ip4:172.29.231.131 ip4:172.29.39.140 ip4:10.4.89.254 ip4:10.2.89.240 ip4:10.2.89.254 ip4:203.46.91.129 ip4:192.168.250.10 ip4:62.62.42.14 ip4:62.62.42.37 include:spf.protection.outlook.com -all,-all,4,2,FALSE,found,v=DMARC1; p=none; rua=mailto:dmarc-reports@garda.ie,none,2,none,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzott+ejeOdioRK5wm54pW6NzGp+ZAxkRrBZsoMIuSW27tR9etw2tHQSWs4krGM4BglXwuplBhABRvtYkhZHlvqKzc9bFphXm8/Out/fgaMske7mg/LPkCcyKRt/b0jtHphqYEibZPTMMXL2AKSGn5BaN1rT9zZ4wkZ2IYDWbx/WvJvlRmCfoBlSTfN6NwZfXKjoayYnygZ6xrNShbXP7W6XlBLXHZL+BEa8qAPWrPuadEfoR7nP+dVcy00eZjri9IlFXoIxFCjUls6WrXDEQFeU2/yk31ru5tLB+NbZ5VaUhWzxHTGuxAUi+zXQBfwilNCgCH4FRtsMLGRBg6amW6QIDAQAB;,rsa,2048,3,FALSE,FALSE
An Post,anpost.ie,State-Owned Enterprise,found,v=spf1 ip4:52.158.43.182 ip4:87.252.198.206 ip4:52.155.248.80 ip4:78.153.200.139 ip4:83.71.197.30 ip4:167.89.86.131 include:spf.protection.outlook.com include:spf_c.oraclecloud.com -all,-all,4,4,FALSE,found,v=DMARC1; p=none; pct=100; ri=86400; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1; adkim=r; aspf=r; sp=none;,none,2,none,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDblsRo0kE0cMswIDGiiJKxWpt+cRQ9Qw5PubTmzXlxTePQnIMmis26hsIPGa8IYDg8wB2j9RM7fD92PC6GeHBmLih5FLfo5Ub33yWhTZJWPN8yIl0hpnYXIZEnXpEmyAwMdBaxNEq+tC2RTc6EUYg3rafhprGxVGHlDy7DH3L1UQIDAQAB;,rsa,1024,2,FALSE,FALSE
Electricity Supply Board,esb.ie,Energy,found,v=spf1 ip4:45.67.190.241 mx a include:spf.protection.outlook.com ~all,~all,3,3,FALSE,found,"v=DMARC1; p=none; pct=100; fo=1; ri=3600; rua=mailto:a4714750@inbox.ondmarc.com,mailto:dmarcnotifications@esb.ie; ruf=mailto:a4714750@inbox.ondmarc.com,mailto:dmarcnotifications@esb.ie;",none,2,none,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDElxqFlm4wD1O3TvIK+zNeqFC5vN4EqRSQBNKdG3vQ8ogZHhD9qs+1lSEGnJajFY612E3OY7bhngh4kqeJJ5nvprttSS7a2NqFxfkTRFB4kR7YdS44pXfimme0UFmy9+KyUeaf5nGK2SpfNsnJQGm7loxzg0+P7IfiRv1+D7RqTQIDAQAB; n=1024,1450392194,1466203394",rsa,1024,2,FALSE,FALSE
EirGrid,eirgrid.com,Energy,found,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,~all,3,1,FALSE,found,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;,quarantine,3,quarantine,100,TRUE,TRUE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Central Bank of Ireland,centralbank.ie,Financial Regulation,found,v=spf1 mx ip4:217.182.232.170/32 ~all,~all,3,1,FALSE,found,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc@centralbank.ie; ruf=mailto:dmarc@centralbank.ie; adkim=r,quarantine,3,quarantine,100,TRUE,TRUE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Health Information and Quality Authority,hiqa.ie,Health,found,v=spf1 ip4:137.191.231.66 ip4:137.191.231.76 ip4:137.191.231.74 ip4:137.191.231.77 ip4:137.191.231.70 ip4:137.191.231.78 ip4:148.139.0.2 ip4:148.139.1.2 include:spf.topsec.com include:_spf.createsend.com include:spf.protection.outlook.com include:em7256.hiqa.ie -all,-all,4,4,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,s1,k=rsa; t=s; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA9fxlQjWrz2nHt9Y5YI/rYIO2v9nEqIN6fxB7ShTIxHynrrC3dBtBshZvHK4eVr39xHEudC0JFgnBpQOcjK/sRZo6yPt8ohkfzbpp0w28gSY/3lskWlr+rTITsu7lEiWsPw/cRb6lgas+zlMRMxmy0neTjjZBhf+liLoH/q5Vn877XaE/YnpUZCnslqlbeyJT8UUaGxqgIWaObn9TRQIRGgP+36eZ/Sgmah38V7WKdcfI/V+Gp4z9HZL5h1hNF9EnvpoRThC/O7kx7Hz64s7ZR1vmelqoQ4EjqkDjPeyic+N6Chc7v0QAVzX/9lRN0CGvvQ3fMFkhuhRY0w1/1NWjmwIDAQAB,rsa,2048,3,FALSE,FALSE
Mater Misericordiae University Hospital,mater.ie,Health,found,v=spf1 ip4:84.203.136.171 include:spf.protection.outlook.com include:spf.tmes.trendmicro.eu -all,-all,4,2,FALSE,found,v=DMARC1;p=none;sp=none;pct=100;rua=mailto:infosec@mater.ie;ri=86400;aspf=r;adkim=r,none,2,none,100,TRUE,FALSE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC8SsM0EqmRqfQ3kJBCiObBxNjIy65JFpXXgogsQ3xg1kNSTuabh0nx7UqHlBewfwp4a0pNSDZkQAEQrqjSHwIw/xGWysa32nsAgcyK6/P02VxZD5vtEfXzuWOIx+FHq1UU9SX8L5JrdIEKP7oUpmNnCyXAxQ42mDlmWFpo5rhwIQIDAQAB; n=1024,1484336840,1499975240",rsa,1024,2,FALSE,FALSE
St. James's Hospital,stjames.ie,Health,found,v=spf1 mx include:spf.tmes.trendmicro.com ~all,~all,3,4,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,not_published,,,,,,,
Beaumont Hospital,beaumont.ie,Health,found,v=spf1 mx ip4:137.191.246.12 include:spf.tmes.trendmicro.com ?all,?all,2,4,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,not_published,,,,,,,
Commission for Communications Regulation,comreg.ie,Regulation,found,v=spf1 include:spf.protection.outlook.com include:autotask.net include:mail.comreg.ie -all,-all,4,3,FALSE,found,v=DMARC1; p=none; rua=mailto:IT.Suggestions@comreg.ie; ruf=mailto:IT.Suggestions@comreg.ie;,none,2,none,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDPGSCNvU5qL3BI5ULG7qZs+Tc4fmPI78vJpoJoT1oyexpOLrTcxscN+szbP7E/RVCB7/QfQrBhDulmNmG8VimTHWw54WC3ycDEbtppLq5UW6QhMNAEOAgusEUDuxjtMD8sykBNXbcaN0+PqraquAcBXT5ukzagV9NEU5+EP4syhQIDAQAB; n=1024,1487534946,1503173346",rsa,1024,2,FALSE,FALSE
National Standards Authority of Ireland,nsai.ie,Standards/Regulation,found,v=spf1 ip4:137.191.233.72 ip4:74.112.70.47 a:gw000140-eu.fortimail.com a:www.nsainep.ie include:spf.protection.outlook.com -all,-all,4,3,FALSE,found,v=DMARC1; p=none; rua=mailto:sys.admin@nsai.ie; ruf=mailto:sys.admin@nsai.ie;,none,2,none,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC/WpleNBKfhm/kuHVRmSx8VScCsT6hMdn5U8IIpogOmtFuop50+v02F2YcLhsq7EuaNWVgISXuAs4pFuEwJth9pdr2RLMJ5/Y7QeGLWxu1HaNvf+WK++5696UrrQh1DOx5/XbZ3dTlf/4wKYT3GJdmM2yRdERLDtuzLsjLO9JqRQIDAQAB; n=1024,1450873759,1466684959",rsa,1024,2,FALSE,FALSE
